"STATION","NAME","DATE","DX70","DX90","EMSN","EMXP","EMXT","SNOW","TAVG"
"USC00190736","BLUE HILL, MA US","1941-12","0","0","0.4","1.74","58","0.4","32.8"
"USC00190736","BLUE HILL, MA US","1942-01","0","0","6.1","0.85","56","12.7","25.4"
"USC00190736","BLUE HILL, MA US","1942-02","0","0","4.4","1.14","45","9.6","24.4"
"USC00190736","BLUE HILL, MA US","1942-03","0","0","5.2","1.92","63","11.6","38.1"
"USC00190736","BLUE HILL, MA US","1942-04","5","0","3.2","0.48","86","5.5","48.0"
"USC00190736","BLUE HILL, MA US","1942-05","18","0",,"1.02","85",,"60.3"
"USC00190736","BLUE HILL, MA US","1942-06","22","0","0.0","0.61","89","0.0","65.4"
"USC00190736","BLUE HILL, MA US","1942-07","27","1",,"1.27","91",,"69.1"
"USC00190736","BLUE HILL, MA US","1942-08","26","0",,"0.81","88",,"68.1"
"USC00190736","BLUE HILL, MA US","1942-09","18","0",,"0.92","88",,"62.9"
"USC00190736","BLUE HILL, MA US","1942-10","5","0",,"1.26","80",,"53.6"
"USC00190736","BLUE HILL, MA US","1942-11","0","0","0.0","1.40","69","0.0","41.1"
"USC00190736","BLUE HILL, MA US","1942-12","0","0","6.8","1.75","58","11.3","25.9"
"USC00190736","BLUE HILL, MA US","1943-01","0","0","8.0","1.09","46","31.2","23.2"
"USC00190736","BLUE HILL, MA US","1943-02","0","0","2.6","0.32","60","6.2","28.7"
"USC00190736","BLUE HILL, MA US","1943-03","0","0","6.2","1.02","66","12.3","33.7"
"USC00190736","BLUE HILL, MA US","1943-04","1","0","0.2","0.76","73","0.3","41.6"
"USC00190736","BLUE HILL, MA US","1943-05","14","0",,"1.01","84",,"56.7"
"USC00190736","BLUE HILL, MA US","1943-06","27","3",,"0.58","93",,"68.7"
"USC00190736","BLUE HILL, MA US","1943-07","29","1",,"0.85","90",,"72.2"
"USC00190736","BLUE HILL, MA US","1943-08","28","1",,"0.58","91",,"69.2"
"USC00190736","BLUE HILL, MA US","1943-09","16","0",,"0.36","87",,"61.8"
"USC00190736","BLUE HILL, MA US","1943-10","8","0","0.0","1.78","80","0.0","52.4"
"USC00190736","BLUE HILL, MA US","1943-11","0","0","2.6","0.93","65","4.4","40.7"
"USC00190736","BLUE HILL, MA US","1943-12","0","0","0.1","0.86","50","0.1","26.6"
"USC00190736","BLUE HILL, MA US","1944-01","0","0","3.0","1.00","56","7.0","28.7"
"USC00190736","BLUE HILL, MA US","1944-02","0","0","5.4","0.73","53","11.2","26.9"
"USC00190736","BLUE HILL, MA US","1944-03","0","0","11.1","1.15","62","14.6","32.3"
